timestamp,tweet,username
Mon Oct 29 00:53:55 +0000 2018,RT @andihiyat: Mengisi hari sumpah pemuda dengan ngga ngapa-ngapain,matchaaaluvvu
Mon Oct 29 00:53:49 +0000 2018,RT @PEPESOfficial: Selamat Hari Sumpah Pemuda untuk Para Pemuda Pemudi Indonesia dari Mak Emak PEPES.. Pilih Indonesia Adil dan Makmur.. 🇮🇩…,AbdulhadiAlkat1
Mon Oct 29 00:53:49 +0000 2018,"RT @giewahyudi: Nonton video ini rasanya malu, apalagi pas Hari Sumpah Pemuda. Tepat hari ini, 90 tahun lalu, para pemuda bersatu melawan p…",amin_hahaa
Mon Oct 29 00:53:39 +0000 2018,"Upacara Sumpah Pemuda.. 

@smk2pkp_jis  @ JAKARTA ISLAMIC SCHOOL PKP",kampuspkp
Mon Oct 29 00:53:35 +0000 2018,"RT @karniilyas: Demi Sumpah Pemuda, saya harap semua yg makan di restauran Jepsng, Korea atau Eropa jika memesan makanan, minta pelayan men…",Ikhlas_Amall
Mon Oct 29 00:53:33 +0000 2018,"RT @indoprogress: #IndoPROGRESS 90 Tahun Sumpah Pemuda: Pemudanya Ada, Sumpahnya Hilang https://t.co/6FRZnDFqxf #analisis",XDedeMasX
Mon Oct 29 00:53:32 +0000 2018,"RT @mohmahfudmd: Hari ini 90 Tahun yg lalu, 28 Oktober 1928, para pemuda dari berbagai suku, agama, ras, daerah di gugusan kepulauan Nusant…",octavianerwin_
Mon Oct 29 00:53:26 +0000 2018,"RT @karniilyas: Demi Sumpah Pemuda, saya harap semua yg makan di restauran Jepsng, Korea atau Eropa jika memesan makanan, minta pelayan men…",Danton_malewa
Mon Oct 29 00:53:09 +0000 2018,"#edisilanjutan, Selamat Hari Sumpah Pemuda, “Hidup Yang tidak Diperjuangkan, tak dapat dimenangkan” https://t.co/eakgCDyP39",RBRisdianto16
Mon Oct 29 00:53:02 +0000 2018,"RT @insan_iksir: sumpah pemuda
pemuda Indonesia kala itu bersatu
bukan berdua",balqis_zhahira
Mon Oct 29 00:52:58 +0000 2018,"RT @indoprogress: 'Melihat kondisi Indonesia saat ini, saya agak meragukan konsistensi serta keberhasilan para pemuda milenial atau pemuda…",mur1997qi
Mon Oct 29 00:52:57 +0000 2018,"Apa bedanya kemarin sama hari hari aku?
Kemarin hari sumpah pemuda
Kalo hari hari aku sumpah aku sayang sama kamu",Rikaziiia
Mon Oct 29 00:52:53 +0000 2018,"RT @jas_hijau: K.H. Maimun Zubair lahir bertepatan dengan #HariSumpahPemuda, bahkan kelahirannya sama persis dengan pelaksanaan Sumpah Pemu…",GLHPRMN
Mon Oct 29 00:52:50 +0000 2018,RT @pksmalaysia1: Semangat Sumpah Pemuda #2019PilihPKS #2019PrabowoSandi #PKSbersamaTKI https://t.co/mxhTq9g0JC,GarntHuis
Mon Oct 29 00:52:42 +0000 2018,"RT @karniilyas: Demi Sumpah Pemuda, saya harap semua yg makan di restauran Jepsng, Korea atau Eropa jika memesan makanan, minta pelayan men…",alvishobri1
Mon Oct 29 00:52:29 +0000 2018,RT @jokopinurbo: Selamat Hari Sumpah Pemuda https://t.co/00UcLPe2bX,smile2facemyday
Mon Oct 29 00:52:28 +0000 2018,"RT @DParagonKost: Selamat hari sumpah pemuda 🙏 Buktikan kita pemuda bukan generasi sampah 🙏🙏😊🇲🇨
. 
Source: google
#sumpahpemuda #generasimu…",DParagonKost
Mon Oct 29 00:52:22 +0000 2018,"RT @korantempo: Sumpah Pemuda 2018, Youtuber: Saatnya Lawan Hoaks! Ini Caranya https://t.co/HW9qzoPJCx",RMusrod
Mon Oct 29 00:52:20 +0000 2018,"RT @karniilyas: Demi Sumpah Pemuda, saya harap semua yg makan di restauran Jepsng, Korea atau Eropa jika memesan makanan, minta pelayan men…",DjamalAziz2
Mon Oct 29 00:52:13 +0000 2018,"RT @RosyDPS: Selamat Hari Sumpah Pemuda

@PEPESOfficial
@swulll @b_fjakarta
#PEPES #PEPESpilihPrabowoSandi
#2019PrabowoPresiden #NOMOR2 htt…",Rsenosujana1
Mon Oct 29 00:52:10 +0000 2018,"Upacara Sumpah Pemuda... 
.  .  .  . 
.  .  .  . 
.  .  .  . 
@smkpkp1  @ JAKARTA ISLAMIC SCHOOL PKP",kampuspkp
Mon Oct 29 00:52:01 +0000 2018,"Pelaksanaan Upacara Peringatan Hari Sumpah Pemuda Ke 90 Tahun 2018 LPKA Parepare Dengan Tema ""BANGUN PEMUDA SATUKAN… https://t.co/j4EtoMkuIL",Lapas_Parepare
Mon Oct 29 00:51:59 +0000 2018,"RT @Sutopo_PN: Seberapa besar greget kita memaknai Sumpah Pemuda jaman kini? Tentu, kita ingin pemuda Indonesia yang selalu semangat, tidak…",SiraitRapika
Mon Oct 29 00:51:59 +0000 2018,RT @Santrijagad: Tahukah kamu? Hari Sumpah Pemuda 28 Oktober juga merupakan momen kelahiran Syaikhuna KH. Maimoen Zubair. Ini dia beberapa…,natadiningrat99
Mon Oct 29 00:51:54 +0000 2018,"Hari ini 28/10/2018 bertepatan dengan Hari Sumpah Pemuda yang ke-90, Karang Taruna Kecamatan se-kabupaten Karangase… https://t.co/t26HiV9sSq",SuluhBaliCo
